2026-09-19T20:39	SURVB	W=/workspace/ft/runs/ft_all/weights/last.pt W2= VERIFY=0 DRONE_REPLAY_TABLE=/workspace/replay/tables/table_v1.json DRONE_REPLAY_REF=/workspace/drone_seen:/workspace/.holdout/drone_seen_heldout DRONE_RECORD_DIR=/workspace/drone_seen_full DRONE_SURVEY=1 DRONE_SURVEY_Y=1080 DRONE_SURVEY_PHASE=6	SURVB on 22 (pid 3892506): "Your endpoint is running!" W=/workspace/ft/runs/ft_all/weights/last.pt W2= WB= UNION= VERIFY=0	SCORE 0.49356947146264685 errors=0 url=http://194.68.245.26:22174/predict
2026-09-19T20:45	FASTC	W=/workspace/ft/runs/ft_all/weights/last.pt W2= VERIFY=0 DRONE_REPLAY_TABLE=/workspace/replay/tables/table_v1.json DRONE_REPLAY_REF=/workspace/drone_seen:/workspace/.holdout/drone_seen_heldout DRONE_RECORD_DIR=/workspace/drone_seen_full DRONE_SURVEY=1 DRONE_SURVEY_Y=1080 DRONE_REPLAY_FAST=1 DRONE_SURVEY_PHASE=3	FASTC on 22 (pid 3892686): "Your endpoint is running!" W=/workspace/ft/runs/ft_all/weights/last.pt W2= WB= UNION= VERIFY=0	SCORE 0.526085782785488 errors=0 url=http://194.68.245.26:22174/predict
2026-09-19T20:48	PROBEBASE	W=/workspace/ft/runs/ft_all/weights/last.pt W2= VERIFY=0 DRONE_REPLAY_TABLE=/workspace/replay/tables/table_live.json DRONE_REPLAY_REF=/workspace/drone_seen:/workspace/.holdout/drone_seen_heldout:/workspace/drone_seen_full DRONE_REPLAY_FAST=1	PROBEBASE on 22 (pid 3892829): "Your endpoint is running!" W=/workspace/ft/runs/ft_all/weights/last.pt W2= WB= UNION= VERIFY=0	SCORE 0.526085782785488 errors=0 url=http://194.68.245.26:22174/predict
2026-09-19T23:05	V2B	W=/workspace/ft/runs/ft_all/weights/last.pt W2= VERIFY=0 DRONE_REPLAY_REF=/workspace/drone_seen:/workspace/.holdout/drone_seen_heldout:/workspace/drone_seen_full DRONE_REPLAY_FAST=1 DRONE_REPLAY_TABLE=/workspace/replay/tables/table_v2b.json	V2B on 22 (pid 3895380): "Your endpoint is running!" W=/workspace/ft/runs/ft_all/weights/last.pt W2= WB= UNION= VERIFY=0	SCORE 0.6015412966833653 errors=0 url=http://194.68.245.26:22174/predict
2026-09-19T23:08	V2	W=/workspace/ft/runs/ft_all/weights/last.pt W2= VERIFY=0 DRONE_REPLAY_REF=/workspace/drone_seen:/workspace/.holdout/drone_seen_heldout:/workspace/drone_seen_full DRONE_REPLAY_FAST=1 DRONE_REPLAY_TABLE=/workspace/replay/tables/table_v2.json	V2 on 22 (pid 3895503): "Your endpoint is running!" W=/workspace/ft/runs/ft_all/weights/last.pt W2= WB= UNION= VERIFY=0	SCORE 0.5680073264164855 errors=0 url=http://194.68.245.26:22174/predict
2026-09-19T23:56	V2BCONV	W=/workspace/ft/runs/ft_all/weights/last.pt W2= VERIFY=0 DRONE_REPLAY_REF=/workspace/drone_seen:/workspace/.holdout/drone_seen_heldout:/workspace/drone_seen_full DRONE_REPLAY_FAST=1 DRONE_REPLAY_TABLE=/workspace/replay/tables/table_v2b_conv.json	V2BCONV on 22 (pid 3903492): "Your endpoint is running!" W=/workspace/ft/runs/ft_all/weights/last.pt W2= WB= UNION= VERIFY=0	SCORE 0.5973445424642086 errors=0 url=http://194.68.245.26:22174/predict
2026-09-20T04:45	V3	W=/workspace/ft/runs/ft_all/weights/last.pt W2= VERIFY=0 DRONE_REPLAY_REF=/workspace/drone_seen:/workspace/.holdout/drone_seen_heldout:/workspace/drone_seen_full DRONE_REPLAY_FAST=1 DRONE_REPLAY_TABLE=/workspace/replay/tables/table_v3.json	V3 on 22 (pid 3918675): "Your endpoint is running!" W=/workspace/ft/runs/ft_all/weights/last.pt W2= WB= UNION= VERIFY=0	SCORE 0.6513690112504391 errors=0 url=http://194.68.245.26:22174/predict
2026-09-20T04:47	V3300	W=/workspace/ft/runs/ft_all/weights/last.pt W2= VERIFY=0 DRONE_REPLAY_REF=/workspace/drone_seen:/workspace/.holdout/drone_seen_heldout:/workspace/drone_seen_full DRONE_REPLAY_FAST=1 DRONE_REPLAY_TABLE=/workspace/replay/tables/table_v3_300.json DRONE_MAX_REPORT=300	V3300 on 22 (pid 3918786): "Your endpoint is running!" W=/workspace/ft/runs/ft_all/weights/last.pt W2= WB= UNION= VERIFY=0	SCORE 0.6119170870186703 errors=0 url=http://194.68.245.26:22174/predict
2026-09-20T04:48	V3NH	W=/workspace/ft/runs/ft_all/weights/last.pt W2= VERIFY=0 DRONE_REPLAY_REF=/workspace/drone_seen:/workspace/.holdout/drone_seen_heldout:/workspace/drone_seen_full DRONE_REPLAY_FAST=1 DRONE_REPLAY_TABLE=/workspace/replay/tables/table_v3_nohedge.json	V3NH on 22 (pid 3918899): "Your endpoint is running!" W=/workspace/ft/runs/ft_all/weights/last.pt W2= WB= UNION= VERIFY=0	SCORE 0.6035258148517756 errors=0 url=http://194.68.245.26:22174/predict
2026-09-20T09:32	V4	W=/workspace/ft/runs/ft_all/weights/last.pt W2= VERIFY=0 DRONE_REPLAY_REF=/workspace/drone_seen:/workspace/.holdout/drone_seen_heldout:/workspace/drone_seen_full DRONE_REPLAY_FAST=1 DRONE_REPLAY_TABLE=/workspace/replay/tables/table_v4.json	V4 on 22 (pid 3921490): "Your endpoint is running!" W=/workspace/ft/runs/ft_all/weights/last.pt W2= WB= UNION= VERIFY=0	SCORE 0.07330710051745573 errors=0 url=http://194.68.245.26:22174/predict
2026-09-20T09:37	V4b	W=/workspace/ft/runs/ft_all/weights/last.pt W2= VERIFY=0 DRONE_REPLAY_REF=/workspace/drone_seen:/workspace/.holdout/drone_seen_heldout:/workspace/drone_seen_full DRONE_REPLAY_FAST=1 DRONE_REPLAY_TABLE=/workspace/replay/tables/table_v4.json	V4b on 22 (pid 3921826): "Your endpoint is running!" W=/workspace/ft/runs/ft_all/weights/last.pt W2= WB= UNION= VERIFY=0	SCORE 0.6504656499325365 errors=0 url=http://194.68.245.26:22174/predict
2026-09-20T09:39	V4LOT	W=/workspace/ft/runs/ft_all/weights/last.pt W2= VERIFY=0 DRONE_REPLAY_REF=/workspace/drone_seen:/workspace/.holdout/drone_seen_heldout:/workspace/drone_seen_full DRONE_REPLAY_FAST=1 DRONE_REPLAY_TABLE=/workspace/replay/tables/table_v4_lottery.json	V4LOT on 22 (pid 3921955): "Your endpoint is running!" W=/workspace/ft/runs/ft_all/weights/last.pt W2= WB= UNION= VERIFY=0	SCORE 0.6506179408427091 errors=0 url=http://194.68.245.26:22174/predict
2026-09-20T09:41	V3SPC	W=/workspace/ft/runs/ft_all/weights/last.pt W2= VERIFY=0 DRONE_REPLAY_REF=/workspace/drone_seen:/workspace/.holdout/drone_seen_heldout:/workspace/drone_seen_full DRONE_REPLAY_FAST=1 DRONE_REPLAY_TABLE=/workspace/replay/tables/table_v3_spc.json	V3SPC on 22 (pid 3922074): "Your endpoint is running!" W=/workspace/ft/runs/ft_all/weights/last.pt W2= WB= UNION= VERIFY=0	SCORE 0.6622785998010255 errors=0 url=http://194.68.245.26:22174/predict
2026-09-20T09:43	V3SPCCON	W=/workspace/ft/runs/ft_all/weights/last.pt W2= VERIFY=0 DRONE_REPLAY_REF=/workspace/drone_seen:/workspace/.holdout/drone_seen_heldout:/workspace/drone_seen_full DRONE_REPLAY_FAST=1 DRONE_REPLAY_TABLE=/workspace/replay/tables/table_v3_spccon.json	V3SPCCON on 22 (pid 3922187): "Your endpoint is running!" W=/workspace/ft/runs/ft_all/weights/last.pt W2= WB= UNION= VERIFY=0	SCORE 0.6171798145575687 errors=0 url=http://194.68.245.26:22174/predict
2026-09-20T09:46	V3SPCTATA	W=/workspace/ft/runs/ft_all/weights/last.pt W2= VERIFY=0 DRONE_REPLAY_REF=/workspace/drone_seen:/workspace/.holdout/drone_seen_heldout:/workspace/drone_seen_full DRONE_REPLAY_FAST=1 DRONE_REPLAY_TABLE=/workspace/replay/tables/table_v3_spc_tata.json	V3SPCTATA on 22 (pid 3922402): "Your endpoint is running!" W=/workspace/ft/runs/ft_all/weights/last.pt W2= WB= UNION= VERIFY=0	SCORE 0.62610447954345 errors=0 url=http://194.68.245.26:22174/predict
